Date,Occasion
01-01-2026,New Year's Day
12-01-2026,Swami Vivekananda Jayanti
22-01-2026,Saraswati Puja
23-01-2026,Netaji Birthday & Saraswati Puja
26-01-2026,Republic Day
04-02-2026,Shab-e-Barat
14-02-2026,Thakur Panchanan Barma Jayanti
03-03-2026,Doljatra
04-03-2026,Holi
17-03-2026,Harichand Thakur Jayanti
20-03-2026,Eid-ul-Fitr
21-03-2026,Eid-ul-Fitr
26-03-2026,Ramnavami
31-03-2026,Mahabir Jayanti
03-04-2026,Good Friday
14-04-2026,Dr. B. R. Ambedkar Birthday
15-04-2026,Bengali New Year
01-05-2026,May Day
09-05-2026,Rabindra Jayanti
11-05-2026,Summer Vacation Begins
12-05-2026,Summer Vacation
13-05-2026,Summer Vacation
14-05-2026,Summer Vacation
15-05-2026,Summer Vacation
16-05-2026,Summer Vacation Ends
26-05-2026,Id-uz-Zoha
27-05-2026,Id-uz-Zoha
26-06-2026,Muharram
15-08-2026,Independence Day
26-08-2026,Fateha-Dwaz-Daham
28-08-2026,Rakhi Purnima
04-09-2026,Janmastami
17-09-2026,Biswakarma Puja
02-10-2026,Gandhiji Birthday
10-10-2026,Mahalaya
15-10-2026,Durga Puja Vacation Begins
21-10-2026,Vijaya Dashami
27-10-2026,Lakshmi Puja
08-11-2026,Kali Puja
11-11-2026,Bhai Dooj
12-11-2026,Puja Vacation Ends
16-11-2026,Chhat Puja
24-11-2026,Guru Nanak Birthday & Parshwanath Rathajatra
25-12-2026,Christmas Day